kBT,JA,phase,phase_label,predicted_phase_before_exact,distance_to_normal_sc_boundary,distance_to_uniform_fflo_boundary,distance_to_old_curve_1,distance_to_old_curve_2,Delta_opt,q_opt,eta,Ic_plus,Ic_minus,eta_denominator_diagnostic,abs_Ic_plus,abs_Ic_minus,min_abs_Ic,F_SC,F_normal,DeltaF,free_energy_gap_to_normal,positive_delta_gap,delta_status,delta_boundary_ambiguous,delta_unresolved,delta_unresolved_requiring_rerun,delta_boundary_band_normal,needs_rerun_exact,q_min,q_max,q_edge_hit,q_expanded,q_unresolved,trusted_exact,training_eligible_exact,source_iteration,selection_source,A0_main,A0_main_raw,A0_for_pool,Aselect,B_delta_raw,U_NS,B_delta_gated,response_reliability,eta_positive_strong,audit_role,n_q,coord_key
0.07,1.265375,normal,0,0.0,0.0043221440727286,0.5896197928398494,0.315881594660812,0.3134921760321758,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.064379221015771e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,1,acquisition_stochastic,0.9871892636474562,0.9871892636474562,0.9871892636474562,0.0631705901369341,0.7035392424827538,0.7276754147512188,0.5119482100673961,delta_ambiguous,False,near_zero_delta_refinement,,"0.07000000,1.26537500"
0.0676666666666666,1.2985000000000002,normal,0,0.0,0.012382910764526,0.6052203119332353,0.3309880189090055,0.3294811320754717,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,8.848163313146529e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,1,acquisition_stochastic,0.8859252148183786,0.8859252148183786,0.8859252148183786,0.0260599828872522,0.7950416154375995,0.5946191914388606,0.4727470025317509,delta_ambiguous,False,near_zero_delta_refinement,,"0.06766667,1.29850000"
0.084,1.106375,normal,0,0.0,0.0001319444444444,0.5146407931186959,0.2464517728072798,0.2358644285455583,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.3964984724168517e-10,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,1,acquisition_stochastic,1.5336877602449916,1.5336877602449916,1.5336877602449916,1.337521137227052,0.3767937557646086,0.9967059752314352,0.3755525878004795,delta_ambiguous,False,near_zero_delta_refinement,,"0.08400000,1.10637500"
0.077,1.1925,normal,0,0.0,0.0052568988627301,0.5552257682729975,0.2836094507119358,0.2777763976328359,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.850841645558489e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,2,acquisition_stochastic,1.0083349496655625,1.0083349496655625,1.0083349496655625,0.0139967603672575,0.7744100037561003,0.8102036369801716,0.6274298015570208,delta_ambiguous,False,near_zero_delta_refinement,,"0.07700000,1.19250000"
0.0723333333333333,1.2256250000000002,normal,0,0.0,0.0073684580736213,0.570845507872758,0.2977887162928737,0.2943580274298019,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.181520297739325e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,2,acquisition_stochastic,0.9521592639360096,0.9521592639360096,0.9521592639360096,0.0062511441981194,0.7817109120818124,0.7700522456518754,0.6019582432991754,delta_ambiguous,False,near_zero_delta_refinement,,"0.07233333,1.22562500"
0.0863333333333333,1.1395000000000002,normal,0,0.0,0.0162055139531138,0.5302260991825473,0.2626217518871449,0.2508093287268425,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,9.906087505839878e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,2,acquisition_stochastic,0.9568276094465968,0.9568276094465968,0.9568276094465968,0.0031305731535188,0.7417214498473832,0.8009975423634336,0.5941170584459967,delta_ambiguous,False,near_zero_delta_refinement,,"0.08633333,1.13950000"
0.084,1.146125,normal,0,0.0,0.0187504642432239,0.5333891394346536,0.2646642094667907,0.2544530006093719,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.187572759193017e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,3,acquisition_stochastic,0.9359984162182908,0.9359984162182908,0.9359984162182908,0.210381228949249,0.6945491339577113,0.7992465922715448,0.5551160284808535,delta_ambiguous,False,near_zero_delta_refinement,,"0.08400000,1.14612500"
0.077,1.20575,normal,0,0.0,0.0043975694444446,0.5614756901499302,0.2897704215134274,0.2839725883207739,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.356888127001525e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,4,acquisition_stochastic,0.8423004510225365,0.8423004510225365,0.8423004510225365,0.4520193298649581,0.7054143120386239,0.7436726957241843,0.5245973630361843,delta_ambiguous,False,near_zero_delta_refinement,,"0.07700000,1.20575000"
0.0793333333333333,1.1991250000000002,normal,0,0.0,0.0084658561650122,0.5583454430628612,0.2874195366689511,0.2803289164382444,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,9.042314452756273e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,4,acquisition_stochastic,0.804841464056824,0.804841464056824,0.804841464056824,0.0032659904118659,0.7197308247133183,0.6992714318819475,0.503287204366857,delta_ambiguous,False,near_zero_delta_refinement,,"0.07933333,1.19912500"
0.0816666666666666,1.1395000000000002,normal,0,0.0,0.016137521755539,0.5302477090200458,0.2606880891072094,0.2519004818039636,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,2.055089209918037e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,5,acquisition_stochastic,0.9613995570857178,0.9613995570857178,0.9613995570857178,0.5122184899903148,0.5868510854095308,0.8954139942727817,0.5254746744298653,delta_ambiguous,False,near_zero_delta_refinement,,"0.08166667,1.13950000"
