point_id,kBT,J_A,Delta_opt,q_opt,eta,ic_plus,ic_minus,thermo_phase_code,thermo_phase,trusted_exact,training_eligible_exact,rerun_required,q_unresolved,delta_unresolved,free_energy_opt,normal_state_free_energy,free_energy_gap_to_normal,positive_delta_gap,P0,Ppi,pf_product,pfaffian_margin,bulk_gap,k_at_bulk_gap,gap_grid_error,gap_local_refinement_error,thermal_gap_ratio,runtime_seconds,z2_value,spectral_status,topology_label,topology_trusted,backend,Nk_used,local_refinement_used,failure_reason
0,0.4293333333333333,1.5966250000000002,0.0,-3.1390977443608548,0.0,0.0,0.0,0,normal,1,1,0,0,0,,,0.0,2.8123918949241045e-07,,,,,,,,,,,-1,not_applicable,not_applicable,False,gpu,0,False,
1,0.112,2.0206250000000003,0.0,-3.1390977443608548,0.0,0.0,0.0,0,normal,1,1,0,0,0,,,0.0,4.071543868722216e-07,,,,,,,,,,,-1,not_applicable,not_applicable,False,gpu,0,False,
2,0.259,1.967625,0.0,-3.1390977443608548,0.0,0.0,0.0,0,normal,1,1,0,0,0,,,0.0,3.8106215360933504e-07,,,,,,,,,,,-1,not_applicable,not_applicable,False,gpu,0,False,
3,0.1936666666666666,1.02025,0.0,-3.1390977443608548,0.0,0.0,0.0,0,normal,1,1,0,0,0,,,0.0,1.1113154285702365e-07,,,,,,,,,,,-1,not_applicable,not_applicable,False,gpu,0,False,
4,0.5436666666666667,1.5635,0.0,-3.1390977443608548,0.0,0.0,0.0,0,normal,1,1,0,0,0,,,0.0,2.721595808719002e-07,,,,,,,,,,,-1,not_applicable,not_applicable,False,gpu,0,False,
5,0.1843333333333333,1.344875,0.0,-3.1390977443608548,0.0,0.0,0.0,0,normal,1,1,0,0,0,,,0.0,1.5768957628559122e-07,,,,,,,,,,,-1,not_applicable,not_applicable,False,gpu,0,False,
6,0.084,2.060375,0.0,-3.1390977443608548,0.0,0.0,0.0,0,normal,1,1,0,0,0,,,0.0,4.143735348183242e-07,,,,,,,,,,,-1,not_applicable,not_applicable,False,gpu,0,False,
7,0.077,1.3978750000000002,0.0,-3.1390977443608548,0.0,0.0,0.0,0,normal,1,1,0,0,0,,,0.0,7.911390831338849e-08,,,,,,,,,,,-1,not_applicable,not_applicable,False,gpu,0,False,
8,0.028,1.0401250000000002,0.09137873900109204,-0.5732683711782585,-0.03189178710709303,0.006872191195915141,-0.0073249638419077825,2,FFLO,1,1,0,0,0,,,-0.0005180094834196236,,-0.5386534764827838,1.5715885210925267,-0.8465416204869264,0.4978957246807932,0.07468336429946516,-2.076489917101607,0.0003441908214009587,,2.6672630106951845,0.0009596628345610504,1,gapped,topological,True,gpu,2048,False,
9,0.196,1.6165000000000005,0.0,-3.1390977443608548,0.0,0.0,0.0,0,normal,1,1,0,0,0,,,0.0,2.5984477947105233e-07,,,,,,,,,,,-1,not_applicable,not_applicable,False,gpu,0,False,
10,0.1656666666666666,0.5830000000000001,0.3494230986481228,-0.3902640518693479,-0.1887566632279874,0.015719665427557657,-0.023034835756038322,2,FFLO,1,1,0,0,0,,,-0.004071349013974435,,0.08677233491930295,2.2450209082606443,0.1948057061524303,0.08677233491930295,0.07195560127171284,0.11203530225307994,0.0003441908214009587,,0.434339645503297,0.0009596628345610504,0,gapped,trivial,True,gpu,2048,False,
11,0.4386666666666667,1.146125,0.0,-3.1390977443608548,0.0,0.0,0.0,0,normal,1,1,0,0,0,,,0.0,1.6463133500899119e-07,,,,,,,,,,,-1,not_applicable,not_applicable,False,gpu,0,False,
12,0.3873333333333333,0.960625,0.0,-3.1390977443608548,0.0,0.0,0.0,0,normal,1,1,0,0,0,,,0.0,1.1512568787175326e-07,,,,,,,,,,,-1,not_applicable,not_applicable,False,gpu,0,False,
13,0.4433333333333333,1.662875,0.0,-3.1390977443608548,0.0,0.0,0.0,0,normal,1,1,0,0,0,,,0.0,2.981570292881486e-07,,,,,,,,,,,-1,not_applicable,not_applicable,False,gpu,0,False,
14,0.504,0.072875,0.32907289090840625,-0.050941966932349696,5.161992104407086e-06,0.006038651226188807,-0.006038588883570718,2,FFLO,1,1,0,0,0,,,-0.0018040205752770655,,0.30694928080048667,2.5062356712838945,0.7692872368171163,0.30694928080048667,0.3098777130670034,0.42205079615886315,0.0003441908214009587,,0.6148367322758004,0.0009596628345610504,0,gapped,trivial,True,gpu,2048,False,
