point_id,kBT,J_A,Delta_opt,q_opt,thermo_phase_code,thermo_phase,trusted_exact,training_eligible_exact,rerun_required,q_unresolved,delta_unresolved,pilot_source
4164,0.2053333333333333,0.006625,0.5029067242396476,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
4489,0.4923333333333334,0.0,0.36385969096363613,3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
4432,0.392,0.01325,0.5009021301166103,-0.009283502874834197,1,uniform_SC,1,1,0,0,0,dataset_iter035
5676,0.5343333333333333,0.0,0.23157894736842102,0.0,1,uniform_SC,1,1,0,0,0,dataset_iter035
2735,0.5086666666666667,0.0,0.32235542947519047,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
1841,0.4293333333333333,0.01325,0.4666161647859214,-0.009283502874834197,1,uniform_SC,1,1,0,0,0,dataset_iter035
3605,0.5296666666666667,0.0,0.25157857080095897,3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
2990,0.4246666666666667,0.0,0.4718298668206409,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
4480,0.245,0.01325,0.5213537600261087,-0.009208409007500029,1,uniform_SC,1,1,0,0,0,dataset_iter035
3916,0.3546666666666667,0.01325,0.5214539269710169,-0.009208409007500029,1,uniform_SC,1,1,0,0,0,dataset_iter035
4316,0.2403333333333333,0.006625,0.5196496667377961,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
4460,0.4176666666666667,0.006625,0.4790481629783976,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
1108,0.154,0.0,0.4676190894598767,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
2153,0.2356666666666667,0.0,0.5178441512797018,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
1184,0.098,0.0,0.4220054727804486,3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
1966,0.4246666666666667,0.01325,0.4717296998757327,-0.009283502874834197,1,uniform_SC,1,1,0,0,0,dataset_iter035
5307,0.105,0.006625,0.427418253480111,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
4543,0.161,0.0,0.4730331253844126,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
2833,0.4993333333333333,0.01325,0.3469176698005448,-0.009283502874834197,1,uniform_SC,1,1,0,0,0,dataset_iter035
2390,0.5273333333333334,0.006625,0.26070129413684456,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
4995,0.0863333333333333,0.0,0.41358391805892025,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
1989,0.4596666666666667,0.006625,0.42591449408161475,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
4676,0.0256666666666666,0.01325,0.39774498851469237,-0.009208409007500029,1,uniform_SC,1,1,0,0,0,dataset_iter035
4866,0.0676666666666666,0.006625,0.40335810310417114,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
1190,0.231,0.01325,0.5158395571566645,-0.009208409007500029,1,uniform_SC,1,1,0,0,0,dataset_iter035
1761,0.0,0.0,0.3978451554596006,-0.004022227031910214,1,uniform_SC,1,1,0,0,0,dataset_iter035
4690,0.518,0.006625,0.29388416784867005,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
5104,0.4223333333333334,0.006625,0.4743352956682189,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
4433,0.5156666666666667,0.006625,0.30140296484115126,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
3089,0.2263333333333333,0.01325,0.5137347960887192,-0.009208409007500029,1,uniform_SC,1,1,0,0,0,dataset_iter035
2740,0.3313333333333333,0.01325,0.5284706340140836,-0.009208409007500029,1,uniform_SC,1,1,0,0,0,dataset_iter035
5091,0.1586666666666666,0.0,0.4712276099263183,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
1215,0.3733333333333333,0.01325,0.512731871414764,-0.009283502874834197,1,uniform_SC,1,1,0,0,0,dataset_iter035
1084,0.112,0.01325,0.4331327902393714,-0.009208409007500029,1,uniform_SC,1,1,0,0,0,dataset_iter035
4330,0.1773333333333333,0.006625,0.48506320057238256,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
