point_id,kBT,J_A,Delta_opt,q_opt,thermo_phase,trusted_exact,training_eligible_exact,rerun_required,q_unresolved,delta_unresolved
0,0.0093333333333333,1.6827500000000002,0.025787590846900223,-1.6350004234616438,uniform_SC,0,0,1,0,0
1,0.063,1.291875,0.012700239747950846,-0.9523668683598859,FFLO,0,0,1,0,0
2,0.357,0.62275,0.048070217279425606,-0.47469797773532707,FFLO,0,0,1,0,0
4,0.0186666666666666,1.6231250000000002,0.02992493755256254,-1.5433480760725222,uniform_SC,0,0,1,0,0
7,0.0653333333333333,1.265375,0.020881293383709688,-0.9054518335889786,FFLO,0,0,1,0,0
8,0.0,1.7688750000000002,0.014812030075187969,-1.7619892346636135,uniform_SC,0,0,1,0,0
10,0.0,1.941125,0.007766829427491935,-1.9622933742365714,uniform_SC,0,0,1,0,0
11,0.0233333333333333,1.59,0.0301252714423789,-1.4895853839856104,uniform_SC,0,0,1,0,0
12,0.49,0.41075,0.04446169681298404,-0.304173355792485,FFLO,0,0,1,0,0
14,0.4526666666666667,0.496875,0.02933460529453851,-0.37620267815972985,FFLO,0,0,1,0,0
15,0.35,0.629375,0.03634064292618022,-0.4783822823642335,FFLO,0,0,1,0,0
19,0.0,1.7423750000000002,0.0162389697114238,-1.7129715716073506,uniform_SC,0,0,1,0,0
21,0.0,1.8748750000000003,0.010013179861172129,-1.8793613257172774,uniform_SC,0,0,1,0,0
23,0.3103333333333333,0.6558750000000001,0.028650131170999283,-0.48394863880602634,FFLO,0,0,1,0,0
26,0.4596666666666667,0.483625,0.019604478642348776,-0.3649995765383421,FFLO,0,0,1,0,0
29,0.0,1.537,0.030827695281609693,-1.3984586936678278,uniform_SC,0,0,1,0,0
32,0.0023333333333333,1.73575,0.01701595390814264,-1.71191555233514,uniform_SC,0,0,1,0,0
33,0.4456666666666667,0.510125,0.025416546374282954,-0.38740577978111745,FFLO,0,0,1,0,0
35,0.2053333333333333,0.6890000000000001,0.043859439918661425,-0.402067904429409,FFLO,0,0,1,0,0
36,0.0373333333333333,1.477375,0.03002510449747072,-1.293946474446435,uniform_SC,0,0,1,0,0
38,0.2566666666666667,0.6757500000000001,0.04285651524470609,-0.4583837880056838,FFLO,0,0,1,0,0
39,0.189,0.695625,0.03874716005372361,-0.38048773372730954,FFLO,0,0,1,0,0
41,0.07,1.2256250000000002,0.020540374308057285,-0.8373320974526429,FFLO,0,0,1,0,0
43,0.1516666666666666,0.7287500000000001,0.012863921071459951,-0.3421428100915619,FFLO,0,0,1,0,0
50,0.5016666666666667,0.377625,0.04135401107108338,-0.27733190924746165,FFLO,0,0,1,0,0
52,0.1913333333333333,0.695625,0.023163417726285666,-0.38327091194820595,FFLO,0,0,1,0,0
53,0.147,0.7353750000000001,0.01701595390814264,-0.3401105705440071,FFLO,0,0,1,0,0
54,0.035,1.503875,0.02753348312350157,-1.3414669652855467,uniform_SC,0,0,1,0,0
64,0.518,0.324625,0.01740532466391354,-0.2354528687174759,FFLO,0,0,1,0,0
65,0.0443333333333333,1.4243750000000002,0.028650131170999283,-1.1967277706155206,uniform_SC,0,0,1,0,0
66,0.1423333333333333,0.7420000000000001,0.026580767444487674,-0.33890906866666043,FFLO,0,0,1,0,0
67,0.5366666666666667,0.2385,0.03914782783335634,-0.17003651180517002,FFLO,0,0,1,0,0
69,0.161,0.7155,0.03343329107409593,-0.34846010520669635,FFLO,0,0,1,0,0
71,0.0,1.5568750000000002,0.02913904125924159,-1.4315423414606507,uniform_SC,0,0,1,0,0
73,0.5576666666666668,0.0,0.044762197647708585,-3.754693366708403e-05,FFLO,0,0,1,0,0
76,0.3313333333333333,0.6426250000000001,0.04355893908393688,-0.4830428072684841,FFLO,0,0,1,0,0
77,0.0863333333333333,1.07325,0.021563131535014494,-0.6107121684059963,FFLO,0,0,1,0,0
78,0.385,0.5962500000000001,0.03463654963786762,-0.457557755465008,FFLO,0,0,1,0,0
79,0.231,0.6823750000000001,0.03974882950280542,-0.4333445942766805,FFLO,0,0,1,0,0
80,0.0163333333333333,1.649625,0.028161221082756975,-1.5848516472658363,uniform_SC,0,0,1,0,0
82,0.0513333333333333,1.3713750000000002,0.027152396851896014,-1.0982324710399256,uniform_SC,0,0,1,0,0
83,0.4013333333333334,0.5763750000000001,0.04235568052016518,-0.44229487987804306,FFLO,0,0,1,0,0
84,0.5576666666666668,0.019875,0.040851921121668945,-0.013873639041282915,FFLO,0,0,1,0,0
87,0.028,1.57675,0.023916427127919967,-1.467404462344838,uniform_SC,0,0,1,0,0
89,0.0023333333333333,1.914625,0.010013179861172129,-1.9293599141784168,uniform_SC,0,0,1,0,0
91,0.014,1.6827500000000002,0.025694829728745906,-1.6349253295943096,uniform_SC,0,0,1,0,0
94,0.5576666666666668,0.046375,0.01366337379341509,-0.032370256053149166,FFLO,0,0,1,0,0
97,0.098,0.954,0.025416546374282954,-0.4761294663442085,FFLO,0,0,1,0,0
98,0.0,1.9013750000000005,0.00912046393111326,-1.9125951612447687,uniform_SC,0,0,1,0,0
100,0.378,0.602875,0.04706729260547026,-0.46214318650192443,FFLO,0,0,1,0,0
102,0.133,0.7618750000000001,0.026676039012389064,-0.34109149594888355,FFLO,0,0,1,0,0
104,0.5553333333333333,0.09275,0.013009276111815432,-0.06492354164510152,FFLO,0,0,1,0,0
105,0.308,0.6558750000000001,0.05007481140246275,-0.4829677134011499,FFLO,0,0,1,0,0
106,0.21,0.6890000000000001,0.01586466165413534,-0.40762955574166965,FFLO,0,0,1,0,0
107,0.007,1.7026250000000005,0.023163417726285666,-1.6640242972888897,uniform_SC,0,0,1,0,0
108,0.441,0.51675,0.04666662482583754,-0.3929721362229102,FFLO,0,0,1,0,0
109,0.091,1.0268750000000002,0.021477901766101395,-0.5540208154930506,FFLO,0,0,1,0,0
111,0.168,0.708875,0.03563947431182296,-0.3552279635258359,FFLO,0,0,1,0,0
118,0.0,1.649625,0.02211053510236359,-1.580341310096254,uniform_SC,0,0,1,0,0
120,0.0933333333333333,1.007,0.016705160229455104,-0.5313893306482728,FFLO,0,0,1,0,0
127,0.469,0.46375,0.022900197070305144,-0.3482348236046938,FFLO,0,0,1,0,0
128,0.4806666666666667,0.43725,0.009511340956732398,-0.32605390196392114,FFLO,0,0,1,0,0
129,0.2776666666666667,0.6691250000000001,0.04536319931715767,-0.47267044331730457,FFLO,0,0,1,0,0
130,0.119,0.8082500000000001,0.02588035196505454,-0.36086470870543064,FFLO,0,0,1,0,0
131,0.5506666666666667,0.139125,0.0429579374144878,-0.09778190783592278,FFLO,0,0,1,0,0
132,0.294,0.6625000000000001,0.04957397667792184,-0.47966358323844654,FFLO,0,0,1,0,0
133,0.007,1.84175,0.014962406015037594,-1.8470286165977963,uniform_SC,0,0,1,0,0
134,0.3406666666666667,0.6360000000000001,0.04496253153752494,-0.48101527285046153,FFLO,0,0,1,0,0
135,0.5086666666666667,0.35775,0.013518018753059611,-0.2614682827218234,FFLO,0,0,1,0,0
136,0.3663333333333333,0.616125,0.013154631152170911,-0.47123895470842314,FFLO,0,0,1,0,0
