point_id,kBT,J_A,topology_label,bulk_gap,pfaffian_margin,nearest_neighbor_distance_norm
275,0.2263333333333333,0.27825,trivial,0.3846673861955845,0.39292745049959393,0.054962868592079335
448,0.0583333333333333,0.41075,trivial,0.21341219622242155,0.22938538100683334,0.044802795107724065
143,0.231,0.377625,trivial,0.3099935060062933,0.32777355370946726,0.04201680672268898
54,0.2006666666666667,0.351125,trivial,0.3244834016365944,0.3400324507877272,0.04146557556240355
281,0.0723333333333333,0.192125,trivial,0.3388171072059798,0.337953511906172,0.041242516450188255
489,0.0466666666666666,0.218625,trivial,0.3169827487267571,0.3214416298794473,0.03254113600033975
273,0.0466666666666666,0.51675,trivial,0.13262416395799076,0.14625188893259555,0.03241937958839504
440,0.2613333333333333,0.271625,trivial,0.3962071712712841,0.4040322587568925,0.03144370186314814
1134,0.2893333333333333,0.404125,trivial,0.28376996590940656,0.3017309027018227,0.029111396790343167
212,0.0466666666666666,0.91425,topological,0.09543395652580322,0.40205682115874947,0.02807069873119874
828,0.007,0.3445,trivial,0.2444236324760129,0.2608583409709684,0.02608217097924096
1132,0.0303333333333333,0.901,topological,0.08855320946512822,0.3894762081354445,0.025543755103552834
551,0.021,1.132875,topological,0.062214031278051266,0.4858710056401562,0.02521008403361345
335,0.2543333333333333,0.377625,trivial,0.31183648433773126,0.3295471198586126,0.024367371669279984
60,0.266,0.3975,trivial,0.2933900261049182,0.3118042841186657,0.024367371669279984
2400,0.1866666666666666,0.404125,trivial,0.2777232535082105,0.29649679489857106,0.024367371669279794
1311,0.371,0.17225,trivial,0.43981469341149,0.43014715334167664,0.0222259685300243
6213,0.1306666666666666,0.17225,trivial,0.38975755402669116,0.3810995868700193,0.022225968530024214
760,0.0326666666666666,1.159375,topological,0.06612252554103985,0.47831910684617707,0.022225968530024145
2486,0.168,0.54325,trivial,0.13017253354502964,0.14864215268110584,0.021407664505998476
820,0.042,1.079875,topological,0.07627978577739532,0.493706520132438,0.021407664505998444
2367,0.175,0.205375,trivial,0.40482066469281697,0.40101152307398474,0.021407664505998413
1116,0.287,0.35775,trivial,0.3276298866124268,0.34363567594393,0.021407664505998254
996,0.2986666666666667,0.152375,trivial,0.4722719749925112,0.4599869824482236,0.021407664505998198
1011,0.3103333333333333,0.14575,trivial,0.47498194165487145,0.46129899884596187,0.021407664505998198
459,0.1516666666666666,0.19875,trivial,0.3929226193996128,0.38811554641251783,0.02100840336134463
265,0.2403333333333333,0.477,trivial,0.21349696164823806,0.2330793530754341,0.02100074559825144
518,0.035,0.086125,trivial,0.3727438279202666,0.35454262481026944,0.021000745598251404
393,0.1633333333333333,0.19875,trivial,0.40081090307087086,0.39587971920772397,0.02100074559825138
1017,0.2753333333333334,0.364375,trivial,0.32297858118492556,0.33963507998827314,0.02085381782368314
1177,0.3336666666666666,0.086125,trivial,0.4997392409105301,0.4728301799651252,0.020853817823683028
6254,0.1213333333333333,0.212,trivial,0.36440254531484256,0.362740371660189,0.020853817823683004
244,0.1376666666666667,0.351125,trivial,0.29707496603382383,0.3112115794803768,0.02073278778120184
6236,0.0933333333333333,0.165625,trivial,0.36387056109677945,0.3568866292770848,0.020732787781201727
369,0.0093333333333333,0.231875,trivial,0.3089831716507762,0.3154720890850999,0.020732787781201727
955,0.0023333333333333,0.258375,trivial,0.2953132031121607,0.30460348505298684,0.020732787781201727
647,0.3103333333333333,0.483625,trivial,0.18868355932470124,0.20534404923516483,0.020576131687242816
2542,0.1516666666666666,0.430625,trivial,0.2440125403283874,0.2630589711027371,0.020576131687242816
2445,0.1516666666666666,0.46375,trivial,0.21475353218033866,0.23457375522424062,0.020576131687242816
838,0.406,0.27825,trivial,0.33410455042664855,0.34061198151063543,0.020576131687242788
63,0.0583333333333333,0.5565000000000001,trivial,0.10027708314138924,0.11278398655665081,0.02057613168724276
127,0.3103333333333333,0.4505,trivial,0.2279394665054773,0.24537847033711133,0.018713799154132644
