point_id,kBT,J_A,Delta_opt,q_opt,eta,ic_plus,ic_minus,thermo_phase_code,thermo_phase,trusted_exact,training_eligible_exact,rerun_required,q_unresolved,delta_unresolved,free_energy_opt,normal_state_free_energy,free_energy_gap_to_normal,positive_delta_gap,P0,Ppi,pf_product,pfaffian_margin,bulk_gap,k_at_bulk_gap,gap_grid_error,gap_local_refinement_error,thermal_gap_ratio,runtime_seconds,z2_value,spectral_status,topology_label,topology_trusted,backend,Nk_used,local_refinement_used,failure_reason
515,0.371,0.602875,0.10220555562529025,-0.46094168462457774,-0.0037893480729066344,0.00020739162841798707,-0.00020896936514658448,2,FFLO,1,1,0,0,0,,,-1.6428407232926823e-05,,-0.031323238706747636,2.1105064416523054,-0.06610789706400372,0.031323238706747636,1.1649254235197455e-08,1.9617635313968123,0.000676418417092483,7.534585242724685e-05,3.13996071029581e-08,0.0009596628345610504,1,gap_unresolved,topology_unresolved,False,gpu,2048,True,
1594,0.2683333333333333,0.6691250000000001,0.08115292404634289,-0.46620296046750176,-0.021554824818023004,0.0001272674536466632,-0.00013287477378676096,2,FFLO,1,1,0,0,0,,,-6.957481043401437e-06,,-0.09631796155026376,2.0441822583819453,-0.19689146816456354,0.09631796155026376,1.4596700931133643e-08,-1.970780232190926,0.00028718796183567735,9.392289452074545e-05,5.439764322161606e-08,0.0009596628345610504,1,gap_unresolved,topology_unresolved,False,gpu,2048,True,
2470,0.2216666666666666,0.6823750000000001,0.06791959029460128,-0.42304732419283503,-0.03578987036718223,9.245789987188878e-05,-9.93216656613997e-05,2,FFLO,1,1,0,0,0,,,-4.169904555539894e-06,,-0.12121122865954032,2.029755517020467,-0.2460291600965313,0.12121122865954032,1.0440338717090034e-08,1.9479167420425263,0.00022482559507800077,4.067589709780089e-05,4.7099272407924984e-08,0.0009596628345610504,1,gap_unresolved,topology_unresolved,False,gpu,2048,True,
2550,0.2846666666666667,0.6625000000000001,0.08907238881845682,-0.4743976022659904,-0.01805927643796164,0.00016124202777967453,-0.00016717296491919456,2,FFLO,1,1,0,0,0,,,-9.863049168945537e-06,,-0.08683015474626676,2.0515698791455868,-0.1781381300789911,0.08683015474626676,1.0672695635752747e-08,-1.9708874812739894,0.000785038269413271,7.185146645130838e-06,3.7491905043627916e-08,0.0009596628345610504,1,gap_unresolved,topology_unresolved,False,gpu,2048,True,
2671,0.2286666666666666,0.6823750000000001,0.04857105200396651,-0.4307914027873188,-0.025002319043640555,3.241131919962091e-05,-3.4073596267724964e-05,2,FFLO,1,1,0,0,0,,,-1.0377725873089716e-06,,-0.12168793442601045,2.027474236437546,-0.24671915193403773,0.12168793442601045,1.4739878724983635e-08,-1.9692193681016574,0.00015187354283833913,0.00015187354283833913,6.44601110422025e-08,0.0009596628345610504,1,gap_unresolved,topology_unresolved,False,gpu,2048,True,
2713,0.329,0.6426250000000001,0.0626069765398471,-0.4822918685951424,-0.007030961722911811,5.098698241234841e-05,-5.170903417406298e-05,2,FFLO,1,1,0,0,0,,,-2.334425245109628e-06,,-0.07042868522144327,2.0659141950012123,-0.14549962053425175,0.07042868522144327,1.599201552649743e-08,-1.9970890160631571,0.00016084291262943523,0.00016084291262943523,4.8607949928563615e-08,0.0009596628345610504,1,gap_unresolved,topology_unresolved,False,gpu,2048,True,
2717,0.3476666666666667,0.629375,0.06050096024702825,-0.4777815314255602,-0.005491841363189096,4.428554718805022e-05,-4.477465167196349e-05,2,FFLO,1,1,0,0,0,,,-2.0132955902418814e-06,,-0.05920412543996123,2.0783181738547345,-0.12304500986904686,0.05920412543996123,2.6296361893862155e-08,-1.99708894150499,0.00032824912997989086,0.0001632854636088111,7.563670726901866e-08,0.0009596628345610504,1,gap_unresolved,topology_unresolved,False,gpu,2048,True,
2763,0.4293333333333333,0.53,0.09017548043732034,-0.403870157245429,-0.001078966219166004,0.0001287379276205804,-0.00012901603543957846,2,FFLO,1,1,0,0,0,,,-9.632549797244927e-06,,0.01916098269118316,2.174457647889194,0.04166474535391569,0.01916098269118316,1.1223610181667204e-08,-1.8051634145157205,8.360723859195555e-05,3.4980772098132264e-06,2.6141949180901876e-08,0.0009596628345610504,0,gap_unresolved,topology_unresolved,False,gpu,2048,True,
3263,0.287,0.6625000000000001,0.08135325793615926,-0.4757539970075377,-0.01655351769678823,0.00012175711220874152,-0.00012585597991110383,2,FFLO,1,1,0,0,0,,,-6.8314495029753175e-06,,-0.08788809849222234,2.0501608442726105,-0.1801847382063289,0.08788809849222234,1.410589727361706e-08,-1.9786109175752284,0.0002893508401849828,6.08272106499572e-05,4.9149467852324255e-08,0.0009596628345610504,1,gap_unresolved,topology_unresolved,False,gpu,2048,True,
3419,0.2473333333333333,0.6757500000000001,0.07353396010895351,-0.4501140523398609,-0.02926865435129236,0.0001016571105639804,-0.00010778726561622075,2,FFLO,1,1,0,0,0,,,-4.954132827639235e-06,,-0.10750893793433039,2.037010103747441,-0.21899679281538753,0.10750893793433039,1.1667310946749564e-08,1.9646559850863632,8.073101930695402e-05,8.073101930695402e-05,4.7172416226750264e-08,0.0009596628345610504,1,gap_unresolved,topology_unresolved,False,gpu,2048,True,
